АВС/ DEF;От;До;Емкость;Оператор;Регион
914;1200000;1499999;300000;ЗАО "СИБИНТЕРТЕЛЕКОМ";Забайкальский край
914;1500000;2199999;700000;ПАО "Мобильные ТелеСистемы";Хабаровский край
914;2200000;3099999;900000;ПАО "Мобильные ТелеСистемы";Республика Саха /Якутия/
914;3100000;3199999;100000;ПАО "Мобильные ТелеСистемы";Хабаровский край
914;3200000;3499999;300000;ПАО "Мобильные ТелеСистемы";Приморский край
914;3500000;3699999;200000;ПАО "Мобильные ТелеСистемы";Забайкальский край
914;3700000;3799999;100000;ПАО "Мобильные ТелеСистемы";Хабаровский край
914;3800000;3999999;200000;ПАО "Мобильные ТелеСистемы";Амурская обл.
914;4000000;4299999;300000;ПАО "Мобильные ТелеСистемы";Хабаровский край
914;4300000;4599999;300000;ЗАО "СИБИНТЕРТЕЛЕКОМ";Забайкальский край
914;4600000;5199999;600000;ЗАО "СИБИНТЕРТЕЛЕКОМ";Забайкальский край
914;5200000;5299999;100000;ЗАО "СИБИНТЕРТЕЛЕКОМ";Забайкальский край
914;5300000;5329999;30000;ПАО "Мобильные ТелеСистемы";Амурская обл.
914;5330000;5379999;50000;ПАО "Мобильные ТелеСистемы";Чукотский АО
